                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2393,                 3.0045,                 1.1761,                0.38334,                0.68303,                0.47004,                0.27849,                 1.0494,                 10.155,                 1.1843,             0.00021435,             0.00021435,             0.00021435
                      2,                0.98242,                0.87882,                 1.0545,                0.24571,                0.50518,                0.19314,                0.13966,                 1.0948,                    inf,                 1.2911,             0.00044255,             0.00044255,             0.00044255
                      3,                0.98934,                0.76602,                  1.059,                0.00061,                0.03209,                0.00032,                0.00011,                    nan,                    nan,                    nan,              0.0006703,              0.0006703,              0.0006703
                      4,                 1.0258,                 0.7075,                  1.095,                0.00061,                0.03209,                0.00032,                0.00011,                    nan,                    nan,                    nan,              0.0008976,              0.0008976,              0.0008976
                      5,                0.97137,                0.62909,                 1.0535,                0.09447,                 0.0205,                0.01404,                0.00819,                 4.4713,                 9.5673,                  10.01,              0.0011244,              0.0011244,              0.0011244
                      6,                0.96511,                0.62045,                 1.0858,                0.09447,                 0.0205,                0.01404,                0.00819,                 5.9215,                    inf,                 145.61,              0.0013508,              0.0013508,              0.0013508
                      7,                 1.0067,                0.67117,                 1.0816,                0.09447,                 0.0205,                0.01404,                0.00819,                    nan,                    nan,                    nan,              0.0014205,              0.0014205,              0.0014205
                      8,                0.92572,                0.57512,                 1.0736,                0.00058,                0.09722,                0.00037,                  8e-05,                 4.9683,                    inf,                 28.376,              0.0014191,              0.0014191,              0.0014191
                      9,                0.96178,                0.54963,                 1.0824,                0.13428,                0.01455,                0.01213,                0.00713,                 4.5302,                 328.85,                 30.216,              0.0014177,              0.0014177,              0.0014177
                     10,                 0.9097,                0.51636,                 1.0626,                0.75589,                0.54039,                 0.6533,                0.35035,                 1.3619,                  3.308,                 1.5017,              0.0014163,              0.0014163,              0.0014163
                     11,                0.96894,                0.54293,                 1.0585,                0.43828,                0.49066,                0.37135,                0.21417,                 1.4439,                 3.2254,                  1.565,              0.0014149,              0.0014149,              0.0014149
                     12,                 0.9143,                0.48164,                 1.0501,                0.80847,                0.70899,                0.76258,                0.45476,                 1.1466,                 1.5521,                 1.3726,              0.0014134,              0.0014134,              0.0014134
                     13,                0.90926,                0.47207,                  1.036,                0.78944,                0.69801,                0.79046,                0.48484,                 1.0282,                0.79693,                 1.2722,               0.001412,               0.001412,               0.001412
                     14,                 0.9061,                0.48111,                 1.0362,                0.88962,                0.82967,                0.90482,                0.59108,                0.92391,                0.53924,                 1.1682,              0.0014106,              0.0014106,              0.0014106
                     15,                0.85199,                0.45158,                 1.0111,                0.88615,                0.77876,                0.86589,                0.55154,                 0.9497,                0.66049,                 1.1688,              0.0014092,              0.0014092,              0.0014092
                     16,                0.89076,                0.47516,                 1.0115,                0.82684,                0.81741,                0.87327,                0.57117,                0.90776,                0.77185,                 1.1856,              0.0014078,              0.0014078,              0.0014078
                     17,                0.87837,                0.44419,                 1.0118,                0.90241,                0.88832,                0.93006,                0.61285,                0.95461,                 0.7306,                 1.2017,              0.0014064,              0.0014064,              0.0014064
                     18,                0.84041,                0.42164,                 1.0028,                0.83197,                0.76648,                0.88447,                0.55835,                0.99861,                 1.0307,                 1.1879,              0.0014049,              0.0014049,              0.0014049
                     19,                0.82582,                  0.423,                 1.0135,                0.87628,                0.85641,                0.92892,                0.62125,                0.96143,                 0.4448,                 1.2227,              0.0014035,              0.0014035,              0.0014035
                     20,                0.85798,                0.43818,                 0.9923,                0.85157,                0.85161,                0.91637,                0.60504,                0.92168,                0.49408,                 1.1853,              0.0014021,              0.0014021,              0.0014021
                     21,                0.84705,                 0.4089,                0.99397,                0.94558,                0.76478,                0.90651,                0.60751,                 0.9968,                0.70287,                 1.1675,              0.0014007,              0.0014007,              0.0014007
                     22,                0.81777,                0.40364,                 1.0033,                0.86808,                0.88172,                0.92986,                 0.6218,                0.92317,                0.48651,                  1.115,              0.0013993,              0.0013993,              0.0013993
                     23,                0.87593,                0.42266,                  1.011,                0.82124,                0.85303,                0.88827,                0.58249,                0.96267,                0.55808,                  1.193,              0.0013979,              0.0013979,              0.0013979
                     24,                0.82564,                  0.417,                 1.0114,                0.89198,                0.91878,                0.94941,                  0.599,                0.94739,                0.44393,                 1.1657,              0.0013965,              0.0013965,              0.0013965
                     25,                0.83089,                0.40548,                 1.0041,                0.93012,                0.90583,                0.94268,                0.62713,                0.91982,                0.42092,                   1.15,               0.001395,               0.001395,               0.001395
                     26,                0.83102,                0.40454,                0.98964,                0.89752,                0.91264,                0.93429,                0.59295,                0.97109,                0.44159,                 1.1817,              0.0013936,              0.0013936,              0.0013936
                     27,                 0.8184,                0.40037,                      1,                0.90689,                0.83015,                0.92207,                0.57866,                0.97299,                0.49705,                 1.1664,              0.0013922,              0.0013922,              0.0013922
                     28,                0.84703,                0.40978,                 0.9975,                0.91012,                0.88918,                0.94207,                0.62734,                 1.0037,                0.44937,                 1.2188,              0.0013908,              0.0013908,              0.0013908
                     29,                0.85633,                0.40386,                0.99221,                0.84373,                0.91608,                0.93907,                0.62927,                0.94637,                0.47035,                 1.1615,              0.0013894,              0.0013894,              0.0013894
                     30,                0.82301,                0.40537,                0.98174,                0.85784,                0.90055,                0.92696,                0.62735,                 0.8722,                0.55394,                  1.097,               0.001388,               0.001388,               0.001388
                     31,                0.84703,                0.40745,                0.98941,                0.90829,                0.90705,                 0.9491,                0.64149,                 0.8927,                0.60085,                 1.1196,              0.0013866,              0.0013866,              0.0013866
                     32,                0.80698,                0.39403,                 0.9827,                0.88957,                0.94245,                 0.9518,                0.65503,                0.90915,                0.41616,                 1.1231,              0.0013851,              0.0013851,              0.0013851
                     33,                0.84077,                 0.4033,                 0.9896,                0.89206,                0.88827,                0.92883,                 0.6263,                0.88424,                0.42557,                 1.1166,              0.0013837,              0.0013837,              0.0013837
                     34,                0.82565,                0.38967,                0.97639,                0.91748,                 0.8877,                0.92822,                0.63482,                0.85666,                0.43396,                 1.0918,              0.0013823,              0.0013823,              0.0013823
                     35,                0.80918,                0.37907,                0.97941,                0.92208,                0.84352,                0.91746,                0.58584,                0.93698,                0.44916,                 1.1432,              0.0013809,              0.0013809,              0.0013809
                     36,                 0.7857,                0.37202,                0.97562,                0.92961,                 0.9379,                0.96387,                0.63522,                0.87483,                0.40379,                 1.1065,              0.0013795,              0.0013795,              0.0013795
                     37,                0.80628,                0.37571,                0.97306,                0.92553,                0.90846,                0.96373,                 0.6586,                0.90375,                0.39068,                 1.1027,              0.0013781,              0.0013781,              0.0013781
                     38,                0.76111,                0.36656,                0.97402,                0.89579,                0.89744,                0.94001,                 0.6366,                0.91187,                0.53965,                 1.1777,              0.0013767,              0.0013767,              0.0013767
                     39,                0.78271,                0.37886,                0.95313,                0.92496,                0.92126,                0.94892,                0.62826,                0.92475,                0.38306,                 1.1374,              0.0013752,              0.0013752,              0.0013752
