                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77891,                 2.6888,                 1.0258,                0.90933,                0.74444,                0.87814,                0.70846,                0.74653,                 2.4183,                  1.017,             0.00046346,             0.00046346,             0.00046346
                      2,                0.89882,                 1.5043,                 1.0524,                0.80101,                    0.6,                0.67324,                0.51073,                 1.0192,                 2.5909,                 1.3955,             0.00093886,             0.00093886,             0.00093886
                      3,                 0.9911,                  1.415,                 1.1174,                0.09271,                0.38333,                0.05991,                0.04314,                 1.1152,                 10.691,                 1.3072,              0.0014133,              0.0014133,              0.0014133
                      4,                 0.9678,                 1.7217,                 1.0604,                 0.2534,                0.61213,                0.22392,                0.16907,                 1.1157,                 28.614,                 1.4966,              0.0014248,              0.0014248,              0.0014248
                      5,                0.97223,                 1.5791,                 1.1118,                0.22055,                0.44444,                0.14425,                0.09646,                 1.2312,                 24.182,                 1.4619,              0.0014248,              0.0014248,              0.0014248
                      6,                0.97583,                 1.4768,                 1.0776,                0.49103,                0.73333,                0.53252,                0.41731,                0.87526,                 4.1945,                 1.1697,              0.0014233,              0.0014233,              0.0014233
                      7,                0.97692,                 1.0154,                 1.0636,                0.24749,                0.24444,                0.10135,                0.07389,                 2.5063,                 43.599,                  3.559,              0.0014219,              0.0014219,              0.0014219
                      8,                 0.9178,                0.98439,                 1.0514,                0.94063,                0.68606,                0.75176,                0.63674,                0.75362,                 1.3417,                 1.0703,              0.0014205,              0.0014205,              0.0014205
                      9,                0.87837,                0.83857,                 1.0414,                0.34486,                0.42222,                0.26044,                0.21391,                0.98086,                 3.9246,                 1.5519,              0.0014191,              0.0014191,              0.0014191
                     10,                 0.8783,                0.78211,                 1.0561,                0.81498,                0.50419,                0.62246,                0.50563,                 1.1695,                  1.578,                 1.5323,              0.0014177,              0.0014177,              0.0014177
                     11,                0.94091,                  0.812,                 1.0651,                0.75373,                0.70061,                0.85271,                0.64652,                0.82326,                 3.6429,                 1.1189,              0.0014163,              0.0014163,              0.0014163
                     12,                0.84583,                0.70069,                 1.0506,                0.90445,                0.80938,                  0.843,                0.71202,                0.78514,                  1.224,                  1.126,              0.0014149,              0.0014149,              0.0014149
                     13,                0.88463,                0.83954,                  1.054,                0.92837,                0.95668,                0.97297,                 0.8217,                0.68079,                0.70873,                 1.0188,              0.0014134,              0.0014134,              0.0014134
