                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.75349,                 4.8237,                 1.0757,                0.04651,                0.03333,                0.01246,                0.01049,                0.58208,                 5.1113,                 1.0128,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                0.66999,                 4.7143,                0.99863,                0.04254,                0.03333,                0.01067,                0.00915,                0.57314,                 5.0726,                 1.0112,             7.1379e-05,             7.1379e-05,             7.1379e-05
                      3,                0.64765,                 4.3143,                 1.0296,                0.40582,                    0.7,                0.58436,                0.51866,                0.48779,                 6.2553,                0.91231,             0.00011409,             0.00011409,             0.00011409
                      4,                0.58088,                 2.2331,                0.95355,                0.84191,                0.73333,                0.84555,                0.75907,                0.48649,                 3.4431,                0.90612,             0.00015672,             0.00015672,             0.00015672
                      5,                0.52721,                 1.3693,                0.91224,                0.89067,                0.70566,                0.79315,                0.73571,                0.45981,                 3.7429,                0.88691,             0.00019927,             0.00019927,             0.00019927
                      6,                 0.5391,                 1.0655,                0.90765,                0.64468,                0.70266,                0.70078,                0.63747,                0.46748,                 6.2607,                0.90239,             0.00024173,             0.00024173,             0.00024173
                      7,                0.52325,                0.84277,                0.88339,                 0.1493,                0.54526,                 0.2157,                0.19889,                0.49406,                  14.33,                0.93955,              0.0002841,              0.0002841,              0.0002841
                      8,                0.51674,                0.74897,                0.88342,                0.08921,                0.45556,                0.10826,                0.09419,                0.63131,                 14.524,                0.96417,             0.00032639,             0.00032639,             0.00032639
                      9,                0.56557,                0.70721,                0.89884,                0.05116,                0.22222,                0.08222,                0.07355,                0.60365,                 20.272,                0.97725,              0.0003686,              0.0003686,              0.0003686
                     10,                0.54702,                 0.7083,                0.86519,                0.08852,                0.51667,                0.16934,                0.14662,                0.68765,                 31.718,                 1.0681,             0.00041072,             0.00041072,             0.00041072
                     11,                0.63357,                0.78104,                0.94661,                0.75191,                0.67149,                0.66563,                0.58969,                0.61685,                 13.699,                0.98848,             0.00045275,             0.00045275,             0.00045275
                     12,                0.55508,                0.66878,                0.90917,                0.67023,                0.81667,                0.61392,                0.49704,                0.61497,                 5.7717,                 1.0025,              0.0004947,              0.0004947,              0.0004947
                     13,                0.59884,                0.68517,                0.92406,                0.84405,                0.86167,                0.90917,                0.77007,                0.64666,                 3.0989,                 1.0472,             0.00053657,             0.00053657,             0.00053657
                     14,                0.56773,                0.56353,                0.90831,                0.51709,                0.88333,                0.57579,                0.48076,                 0.8082,                 6.4684,                  1.134,             0.00057835,             0.00057835,             0.00057835
