                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.6949,                0.49215,                 1.1182,                0.96265,                0.94475,                0.97978,                0.80384,                0.70783,                0.53971,                 1.1747,              0.0013823,              0.0013823,              0.0013823
                     36,                0.68955,                 0.4738,                 1.0836,                0.97154,                0.95021,                0.98183,                0.82496,                0.70809,                0.48454,                 1.1722,              0.0013809,              0.0013809,              0.0013809
                     37,                0.72571,                0.45109,                 1.0987,                0.97786,                0.93409,                0.97864,                0.80503,                0.72941,                0.60659,                 1.1919,              0.0013795,              0.0013795,              0.0013795
                     38,                0.73558,                 0.4837,                 1.1052,                0.97422,                0.95848,                0.98441,                0.82648,                0.72684,                0.53713,                  1.189,              0.0013781,              0.0013781,              0.0013781
                     39,                0.71572,                0.45723,                 1.0597,                0.98612,                0.95082,                0.98458,                0.80619,                0.76981,                0.49763,                  1.216,              0.0013767,              0.0013767,              0.0013767
                     40,                0.75666,                0.45936,                 1.1317,                0.95274,                0.88142,                0.95312,                0.77315,                0.78128,                 1.0785,                 1.2559,              0.0013752,              0.0013752,              0.0013752
                     41,                0.70276,                0.44186,                 1.0988,                 0.9715,                0.88142,                0.97462,                0.82766,                 0.7102,                0.55103,                 1.1726,              0.0013738,              0.0013738,              0.0013738
                     42,                0.71435,                0.46674,                 1.1152,                0.95241,                0.98665,                0.98625,                0.82739,                 0.7553,                0.49919,                 1.2342,              0.0013724,              0.0013724,              0.0013724
                     43,                0.72918,                0.50089,                 1.0956,                0.95466,                 0.9203,                0.96052,                0.79618,                0.79406,                0.55968,                 1.2119,               0.001371,               0.001371,               0.001371
                     44,                0.71399,                0.45496,                 1.1054,                0.93877,                0.93959,                0.98924,                0.82034,                0.72806,                0.53216,                  1.203,              0.0013696,              0.0013696,              0.0013696
                     45,                0.71006,                 0.4453,                 1.1055,                0.92191,                0.99174,                0.98973,                0.80935,                0.75927,                0.47684,                 1.2349,              0.0013682,              0.0013682,              0.0013682
                     46,                 0.6634,                0.43697,                 1.0487,                0.94121,                0.98851,                0.98855,                0.81324,                0.73027,                0.48031,                 1.2104,              0.0013668,              0.0013668,              0.0013668
                     47,                0.67165,                0.43101,                 1.0435,                0.98344,                0.95985,                0.98688,                0.85282,                0.72705,                0.47541,                 1.1994,              0.0013653,              0.0013653,              0.0013653
                     48,                0.71239,                0.45607,                 1.0849,                0.97489,                0.99217,                0.98889,                0.83038,                0.67942,                0.45052,                 1.1653,              0.0013639,              0.0013639,              0.0013639
                     49,                0.68314,                 0.4264,                 1.0594,                0.95895,                0.97667,                0.98285,                0.80638,                0.71576,                0.45869,                 1.1735,              0.0013625,              0.0013625,              0.0013625
                     50,                0.67479,                0.41533,                 1.0756,                0.96813,                0.98851,                0.98284,                0.82793,                0.72038,                0.47753,                 1.1763,              0.0013611,              0.0013611,              0.0013611
                     51,                0.63806,                  0.394,                 1.0473,                0.89165,                      1,                0.97534,                0.82408,                0.72215,                0.48351,                 1.1856,              0.0013597,              0.0013597,              0.0013597
                     52,                0.67175,                0.40521,                 1.0408,                0.96682,                0.92323,                0.94043,                0.80338,                0.71348,                0.57477,                 1.2127,              0.0013583,              0.0013583,              0.0013583
                     53,                0.69423,                0.42802,                 1.0846,                0.91489,                0.96279,                0.96185,                0.79525,                0.74816,                0.59219,                 1.2083,              0.0013568,              0.0013568,              0.0013568
                     54,                0.67414,                0.41404,                 1.0764,                0.97272,                0.94589,                0.98609,                0.82114,                0.72396,                0.43765,                 1.2087,              0.0013554,              0.0013554,              0.0013554
                     55,                0.66925,                0.40764,                 1.0679,                  0.969,                      1,                0.98967,                0.84224,                0.69949,                0.41028,                 1.1638,               0.001354,               0.001354,               0.001354
                     56,                0.65302,                0.39838,                  1.075,                0.98079,                      1,                0.98856,                0.86004,                0.67822,                0.38859,                 1.1517,              0.0013526,              0.0013526,              0.0013526
                     57,                 0.6566,                0.39083,                 1.0615,                0.96714,                0.97264,                0.98848,                 0.8262,                0.70986,                0.52604,                  1.199,              0.0013512,              0.0013512,              0.0013512
                     58,                0.65295,                 0.3885,                 1.0178,                0.95637,                      1,                0.98811,                 0.8411,                0.67303,                0.41496,                 1.1708,              0.0013498,              0.0013498,              0.0013498
                     59,                0.69037,                0.41602,                 1.0872,                0.94082,                0.98851,                0.98642,                0.80271,                 0.7539,                0.44904,                 1.2533,              0.0013484,              0.0013484,              0.0013484
                     60,                 0.6766,                0.44866,                 1.0909,                0.92616,                0.99046,                 0.9829,                0.81354,                0.71879,                0.46119,                 1.2233,              0.0013469,              0.0013469,              0.0013469
                     61,                0.67489,                0.42744,                 1.0876,                0.94331,                0.96692,                 0.9868,                0.82482,                0.71546,                0.45972,                  1.202,              0.0013455,              0.0013455,              0.0013455
                     62,                0.66315,                0.39622,                 1.0243,                0.93979,                0.98435,                0.98895,                0.84211,                0.69565,                0.42512,                 1.1847,              0.0013441,              0.0013441,              0.0013441
                     63,                0.66073,                0.42615,                 1.0728,                0.95324,                0.98334,                0.98835,                0.85619,                0.67162,                0.43587,                 1.1669,              0.0013427,              0.0013427,              0.0013427
                     64,                0.61558,                0.38629,                 1.0472,                0.97079,                0.97701,                0.98649,                0.83529,                 0.6818,                 0.4288,                 1.1793,              0.0013413,              0.0013413,              0.0013413
                     65,                0.63948,                0.37753,                 1.0377,                0.94773,                0.97936,                0.97898,                0.83041,                0.68698,                0.43722,                 1.1554,              0.0013399,              0.0013399,              0.0013399
                     66,                0.62465,                0.37839,                 1.0456,                0.93477,                 0.9831,                0.97889,                0.84518,                0.69887,                 0.4719,                 1.1629,              0.0013385,              0.0013385,              0.0013385
                     67,                0.62568,                0.38432,                 1.0407,                0.97423,                0.92923,                0.97372,                0.84328,                0.66282,                0.44808,                  1.167,               0.001337,               0.001337,               0.001337
                     68,                0.65474,                0.40997,                 1.0374,                0.95863,                0.96828,                0.98521,                0.84188,                0.69272,                0.42339,                  1.185,              0.0013356,              0.0013356,              0.0013356
                     69,                0.60967,                0.37706,                 1.0201,                0.94969,                0.99393,                0.98803,                0.85488,                0.67173,                0.40001,                 1.1648,              0.0013342,              0.0013342,              0.0013342
                     70,                0.62003,                0.37195,                 1.0457,                 0.9845,                 0.9882,                0.98918,                0.84954,                0.67378,                0.38722,                 1.1602,              0.0013328,              0.0013328,              0.0013328
                     71,                0.61215,                0.36599,                 1.0075,                0.98498,                0.99016,                0.98933,                0.86217,                   0.66,                0.38127,                 1.1528,              0.0013314,              0.0013314,              0.0013314
