                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82337,                 5.0584,                 1.1098,                0.20626,                0.06111,                0.05452,                0.04943,                0.66666,                 4.3971,                 1.1045,              1.429e-05,              1.429e-05,              1.429e-05
                      2,                0.74484,                 4.6778,                 1.0392,                0.13377,                0.06111,                0.05199,                0.04686,                0.66503,                 4.4286,                 1.1068,             4.2828e-05,             4.2828e-05,             4.2828e-05
                      3,                0.76626,                 4.8058,                 1.0751,                0.10429,                0.06111,                0.05072,                0.04545,                0.66859,                 4.4535,                  1.114,             7.1309e-05,             7.1309e-05,             7.1309e-05
                      4,                0.68476,                 4.5021,                 1.0166,                0.17541,                0.44444,                0.18219,                0.16247,                0.56728,                 4.2366,                  1.054,             9.9733e-05,             9.9733e-05,             9.9733e-05
                      5,                0.75215,                 3.4345,                 1.0567,                0.47628,                0.37539,                0.36167,                0.32633,                0.52112,                 3.8549,                 1.0078,              0.0001281,              0.0001281,              0.0001281
                      6,                0.60794,                 2.2258,                0.92032,                0.43586,                0.70556,                0.62605,                0.54361,                0.53033,                 2.9606,                 1.0381,             0.00015641,             0.00015641,             0.00015641
                      7,                0.65585,                 1.7136,                0.99715,                0.63334,                0.67895,                0.70973,                0.62107,                0.55036,                 2.4076,                0.92505,             0.00018467,             0.00018467,             0.00018467
                      8,                 0.5735,                 1.2385,                0.93575,                0.67921,                0.93889,                0.85219,                0.76464,                0.48192,                 2.1576,                0.88068,             0.00021286,             0.00021286,             0.00021286
                      9,                 0.5584,                 1.0257,                 0.9079,                0.82784,                0.87615,                0.97541,                0.89812,                0.45929,                 1.5647,                0.84597,             0.00024101,             0.00024101,             0.00024101
                     10,                0.59075,                0.94085,                0.88225,                0.89481,                0.95028,                0.99295,                0.90738,                0.47285,                 1.3005,                0.85979,             0.00026909,             0.00026909,             0.00026909
                     11,                0.56825,                0.82698,                0.91644,                0.93658,                0.93332,                0.95862,                0.86458,                0.50552,                 1.0539,                0.86663,             0.00029712,             0.00029712,             0.00029712
                     12,                0.55558,                0.69575,                0.88765,                0.82226,                0.86857,                0.94452,                0.84225,                0.48374,                 1.1096,                0.86116,             0.00032509,             0.00032509,             0.00032509
                     13,                0.51714,                0.75633,                0.90127,                0.89318,                0.79868,                0.94647,                0.83864,                0.55105,                 1.1999,                0.87996,             0.00035301,             0.00035301,             0.00035301
                     14,                0.60383,                0.69064,                0.91012,                0.91938,                0.91227,                  0.995,                0.88672,                0.53065,                 1.0442,                0.89692,             0.00038086,             0.00038086,             0.00038086
                     15,                0.58562,                0.67634,                 0.9204,                0.85546,                0.89541,                0.99295,                0.88224,                0.54344,                 1.2904,                0.90311,             0.00040867,             0.00040867,             0.00040867
                     16,                0.53216,                0.63747,                0.88175,                0.96536,                0.86807,                0.97297,                0.86409,                 0.5532,                 1.0579,                 0.9157,             0.00043641,             0.00043641,             0.00043641
                     17,                0.53526,                0.69348,                0.89822,                0.93257,                0.86577,                0.95799,                 0.8258,                0.56942,                0.98394,                0.91691,              0.0004641,              0.0004641,              0.0004641
                     18,                0.52736,                0.59387,                0.89792,                0.86243,                0.93745,                0.94522,                0.83088,                0.55858,                 1.0514,                0.93312,             0.00049173,             0.00049173,             0.00049173
                     19,                0.53604,                0.57634,                0.90697,                 0.8952,                 0.9385,                0.95999,                0.80548,                0.62092,                0.96892,                0.97464,             0.00051931,             0.00051931,             0.00051931
                     20,                0.53935,                0.56228,                0.91077,                0.84719,                0.91667,                 0.9387,                0.82337,                 0.6062,                0.89473,                0.96105,             0.00054683,             0.00054683,             0.00054683
                     21,                0.52224,                0.54433,                0.87754,                0.86657,                0.75556,                0.83101,                0.72862,                0.63105,                0.95136,                0.99418,             0.00057429,             0.00057429,             0.00057429
                     22,                0.54552,                0.56265,                0.89022,                0.86991,                0.81426,                0.93478,                0.82669,                0.60169,                0.86631,                 0.9624,              0.0006017,              0.0006017,              0.0006017
                     23,                0.53748,                0.48782,                0.93415,                0.82389,                0.82778,                0.90844,                0.79661,                0.62128,                 1.0602,                0.96383,             0.00062904,             0.00062904,             0.00062904
                     24,                0.53385,                0.48091,                0.89705,                0.82329,                0.67228,                 0.7808,                 0.6707,                0.60954,                 1.5969,                0.96452,             0.00065634,             0.00065634,             0.00065634
                     25,                0.52909,                0.54888,                0.91595,                0.83485,                0.81126,                0.89371,                0.75993,                0.57618,                 1.4586,                0.93202,             0.00068357,             0.00068357,             0.00068357
                     26,                0.53697,                0.52024,                0.90401,                0.73844,                0.74821,                0.89025,                0.75177,                0.56914,                 1.6369,                0.93032,             0.00071075,             0.00071075,             0.00071075
                     27,                0.52709,                0.53553,                0.89114,                0.73701,                 0.7234,                0.79824,                0.66032,                0.69638,                 1.7438,                 1.0073,             0.00073788,             0.00073788,             0.00073788
                     28,                0.55228,                0.48832,                0.90554,                0.79484,                0.63381,                0.82536,                0.67258,                0.70364,                 1.9338,                 1.0016,             0.00076494,             0.00076494,             0.00076494
                     29,                0.56471,                0.52949,                0.90263,                0.62516,                0.57066,                0.77016,                0.63409,                0.66582,                 1.9188,                 1.0071,             0.00079195,             0.00079195,             0.00079195
                     30,                0.56087,                 0.6062,                0.93382,                0.77435,                0.73674,                0.85514,                0.73663,                0.61565,                  1.448,                0.96007,              0.0008189,              0.0008189,              0.0008189
                     31,                0.56104,                0.51984,                0.92058,                0.62066,                0.71051,                0.56192,                0.46664,                0.65366,                 5.9044,                 1.0148,              0.0008458,              0.0008458,              0.0008458
                     32,                0.49966,                 0.4404,                0.86035,                0.49376,                0.63889,                0.48562,                0.40876,                0.68546,                 7.1319,                 1.0137,             0.00087264,             0.00087264,             0.00087264
                     33,                0.53468,                0.47422,                0.91484,                0.77103,                0.57321,                0.64554,                0.53863,                0.65873,                 4.5683,                0.99781,             0.00089942,             0.00089942,             0.00089942
                     34,                0.53326,                0.51437,                0.90657,                0.64896,                 0.5854,                0.68548,                0.58542,                0.64323,                 2.9906,                 1.0009,             0.00092615,             0.00092615,             0.00092615
                     35,                0.58672,                0.56246,                0.93447,                0.70095,                0.63053,                0.74392,                0.62368,                0.63599,                 3.9867,                0.98485,             0.00095282,             0.00095282,             0.00095282
                     36,                0.61012,                0.55161,                0.94661,                0.77843,                0.63211,                0.83679,                  0.708,                0.71189,                 2.4484,                   1.06,             0.00097943,             0.00097943,             0.00097943
                     37,                0.60856,                0.57426,                0.91394,                0.58086,                0.80647,                 0.6222,                0.52372,                0.69695,                 15.384,                 1.0393,               0.001006,               0.001006,               0.001006
                     38,                0.57575,                0.51648,                0.92377,                0.51223,                0.70182,                0.53111,                0.41513,                0.87179,                 9.4162,                 1.2258,              0.0010325,              0.0010325,              0.0010325
                     39,                0.66313,                 0.5435,                0.97946,                0.36247,                0.53889,                 0.2655,                 0.2104,                0.90604,                 42.901,                 1.3063,              0.0010589,              0.0010589,              0.0010589
                     40,                0.55283,                0.51044,                0.90724,                0.24226,                0.61136,                0.15417,                 0.1187,                 1.0146,                 29.125,                 1.5046,              0.0010853,              0.0010853,              0.0010853
                     41,                0.56829,                0.54114,                0.92534,                0.30552,                0.68609,                0.35677,                0.27688,                0.90801,                 46.348,                 1.2067,              0.0011117,              0.0011117,              0.0011117
                     42,                0.59642,                0.57373,                0.91558,                0.48794,                0.96667,                0.65836,                 0.5061,                0.71585,                 38.759,                 1.1229,              0.0011379,              0.0011379,              0.0011379
                     43,                0.60772,                0.61073,                0.93793,                0.63253,                0.74405,                0.57127,                0.45115,                0.76773,                 9.4156,                 1.1212,              0.0011641,              0.0011641,              0.0011641
                     44,                0.57391,                0.53133,                0.93226,                0.66517,                0.69441,                0.60407,                0.50181,                0.72028,                 4.3391,                 1.1198,              0.0011903,              0.0011903,              0.0011903
                     45,                0.59718,                0.57273,                 1.0018,                0.54803,                0.69524,                 0.5462,                 0.4051,                0.86877,                  3.579,                 1.2757,              0.0012164,              0.0012164,              0.0012164
                     46,                0.58684,                 0.4913,                0.92995,                0.62884,                0.77778,                0.56089,                0.44918,                0.81091,                 10.776,                   1.24,              0.0012425,              0.0012425,              0.0012425
                     47,                0.58454,                0.50252,                0.95636,                0.58693,                0.77072,                0.55744,                0.45072,                 1.0077,                 30.257,                 1.5036,              0.0012684,              0.0012684,              0.0012684
                     48,                0.55065,                0.45633,                0.90065,                0.51528,                 0.7434,                 0.5134,                0.34376,                 1.3203,                 18.683,                 1.8474,              0.0012944,              0.0012944,              0.0012944
                     49,                0.61375,                0.49736,                0.94902,                0.50874,                0.65556,                0.52036,                0.32774,                 1.5213,                 31.803,                 2.1244,              0.0013203,              0.0013203,              0.0013203
