                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.54515,                0.89389,                 0.8889,                      1,                 0.3531,                 0.7808,                0.66771,                0.66367,                 2.6368,                0.90927,             0.00097943,             0.00097943,             0.00097943
                     37,                0.53332,                0.86814,                0.85909,                0.95451,                0.29686,                0.65995,                0.58418,                0.60714,                  2.694,                0.88717,               0.001006,               0.001006,               0.001006
                     38,                0.53032,                0.82921,                0.87947,                0.90244,                0.39336,                0.66866,                0.57838,                0.67997,                 2.5274,                0.92176,              0.0010325,              0.0010325,              0.0010325
                     39,                0.59224,                0.88717,                0.91285,                0.95714,                0.56473,                0.84714,                0.74826,                0.57965,                 2.2295,                0.89052,              0.0010589,              0.0010589,              0.0010589
                     40,                0.53394,                 0.8571,                0.85593,                0.88772,                0.64735,                0.88376,                0.76954,                 0.6384,                 2.1583,                0.94199,              0.0010853,              0.0010853,              0.0010853
                     41,                0.57195,                0.77685,                0.88986,                0.94665,                0.72221,                 0.9381,                0.83083,                0.61115,                 1.9813,                0.92881,              0.0011117,              0.0011117,              0.0011117
                     42,                0.53185,                0.75937,                0.86776,                0.95423,                0.80529,                0.95568,                0.82571,                0.62222,                 1.8558,                0.93195,              0.0011379,              0.0011379,              0.0011379
                     43,                0.55326,                0.81605,                0.87473,                0.98534,                0.80091,                0.96591,                0.81804,                0.60087,                 1.9074,                0.90284,              0.0011641,              0.0011641,              0.0011641
                     44,                0.55757,                0.82449,                0.87332,                0.92337,                0.64304,                0.91155,                0.77847,                0.59671,                 1.9814,                0.90301,              0.0011903,              0.0011903,              0.0011903
                     45,                 0.5491,                0.79013,                0.87973,                0.92153,                0.79172,                0.91766,                0.77592,                0.62342,                 1.8391,                0.93855,              0.0012164,              0.0012164,              0.0012164
                     46,                0.53953,                 0.7583,                0.85278,                0.79668,                0.50874,                0.72246,                0.62028,                0.63774,                 2.1528,                0.93514,              0.0012425,              0.0012425,              0.0012425
                     47,                0.58989,                0.78162,                0.89455,                0.78772,                0.73118,                0.78776,                0.64605,                0.63516,                 1.6916,                0.95235,              0.0012684,              0.0012684,              0.0012684
                     48,                 0.5526,                0.77945,                0.85301,                0.90146,                0.69899,                0.82148,                0.68791,                0.62193,                 1.6493,                0.94368,              0.0012944,              0.0012944,              0.0012944
                     49,                 0.5844,                0.76373,                0.88853,                0.85024,                0.75197,                0.83372,                0.72184,                 0.6392,                 1.5636,                0.93998,              0.0013203,              0.0013203,              0.0013203
                     50,                 0.5405,                0.73656,                0.89238,                0.71919,                0.73608,                0.73754,                0.59013,                 0.7165,                 1.7307,                 1.0044,              0.0013461,              0.0013461,              0.0013461
                     51,                 0.5565,                 0.7847,                0.88089,                0.77841,                0.49444,                0.52511,                0.46781,                0.67229,                 2.2761,                 1.0275,              0.0013583,              0.0013583,              0.0013583
                     52,                0.61258,                 0.7698,                0.90511,                0.66513,                 0.5748,                0.52797,                0.45967,                 0.8108,                 2.7689,                 1.1148,              0.0013583,              0.0013583,              0.0013583
                     53,                 0.5482,                0.72037,                0.89091,                0.76596,                 0.6726,                0.75195,                0.62263,                0.71748,                 1.8274,                 1.0386,              0.0013568,              0.0013568,              0.0013568
                     54,                0.57933,                0.76462,                0.89246,                0.67765,                0.48763,                0.58127,                0.45443,                0.75958,                  2.345,                  1.034,              0.0013554,              0.0013554,              0.0013554
                     55,                0.56154,                0.69719,                 0.8761,                0.56995,                0.24444,                0.30848,                0.19311,                0.94034,                 2.7806,                 1.1278,               0.001354,               0.001354,               0.001354
                     56,                0.55562,                0.73317,                0.88038,                 0.4814,                0.46322,                0.48093,                0.29567,                0.84451,                 2.5676,                 1.0579,              0.0013526,              0.0013526,              0.0013526
                     57,                 0.5655,                0.75083,                0.89157,                0.65242,                0.51364,                0.49162,                0.35633,                0.76693,                 2.3449,                 1.0381,              0.0013512,              0.0013512,              0.0013512
                     58,                0.57312,                 0.7439,                0.87723,                0.66656,                0.57281,                0.66676,                0.52235,                0.74903,                 1.9402,                0.99367,              0.0013498,              0.0013498,              0.0013498
                     59,                0.51302,                0.65927,                0.84932,                 0.8488,                 0.7619,                0.85017,                 0.7424,                0.62261,                 1.2618,                0.92671,              0.0013484,              0.0013484,              0.0013484
                     60,                0.59351,                 0.7089,                0.87241,                 0.8487,                0.74223,                0.86003,                0.74491,                0.65191,                 1.1928,                0.94429,              0.0013469,              0.0013469,              0.0013469
                     61,                  0.534,                0.65146,                0.86648,                0.69252,                0.81126,                0.79026,                0.68878,                  0.667,                  1.399,                0.96212,              0.0013455,              0.0013455,              0.0013455
                     62,                0.52254,                0.65272,                0.86399,                0.80162,                0.87222,                 0.8612,                0.74929,                0.57557,                 1.1112,                0.92957,              0.0013441,              0.0013441,              0.0013441
                     63,                0.53132,                0.63534,                0.85897,                 0.8464,                0.67757,                0.85628,                 0.7396,                0.60778,                 1.1487,                0.93719,              0.0013427,              0.0013427,              0.0013427
                     64,                0.50181,                0.59342,                0.84622,                0.78565,                0.64234,                 0.7708,                0.63608,                0.70816,                 1.3724,                0.97982,              0.0013413,              0.0013413,              0.0013413
                     65,                 0.5162,                0.58973,                0.85006,                0.82726,                 0.6402,                0.74369,                0.62128,                0.67724,                 1.5901,                0.96754,              0.0013399,              0.0013399,              0.0013399
                     66,                0.54521,                0.59903,                0.88109,                0.82429,                0.64962,                0.74915,                   0.62,                0.69808,                 1.5098,                0.99634,              0.0013385,              0.0013385,              0.0013385
